date;heure;PM25;PM10;O3;NO2;CO
05/06/2016;10;31;39;40;19;200
05/06/2016;11;33;41;44;19;300
05/06/2016;12;38;43;41;22;300
05/06/2016;13;41;47;44;25;300
05/06/2016;14;43;52;49;28;300
05/06/2016;15;42;50;45;32;300
05/06/2016;16;44;50;42;36;300
05/06/2016;17;39;46;58;31;300
05/06/2016;18;32;38;48;43;400
05/06/2016;19;34;41;49;40;300
05/06/2016;20;31;38;50;38;300
05/06/2016;21;29;35;42;39;400
05/06/2016;22;29;35;35;45;400
05/06/2016;23;34;39;12;68;500
05/06/2016;24;32;40;3;77;500
06/06/2016;1;34;40;5;69;500
06/06/2016;2;33;40;8;58;400
06/06/2016;3;33;38;22;39;400
06/06/2016;4;35;41;25;31;300
06/06/2016;5;41;48;5;43;400
06/06/2016;6;44;55;2;52;400
06/06/2016;7;40;50;8;55;400
06/06/2016;8;35;43;n/d;58;400
06/06/2016;9;36;43;14;51;400
06/06/2016;10;38;45;14;56;400
06/06/2016;11;39;49;22;54;400
06/06/2016;12;41;52;27;54;400
06/06/2016;13;41;52;37;52;400
06/06/2016;14;40;52;46;50;400
06/06/2016;15;39;48;56;46;400
06/06/2016;16;35;42;49;55;400
06/06/2016;17;35;43;45;62;400
06/06/2016;18;32;41;48;60;400
06/06/2016;19;29;37;57;60;400
06/06/2016;20;30;36;60;47;400
06/06/2016;21;33;40;29;66;500
06/06/2016;22;41;51;8;92;700
06/06/2016;23;48;63;5;109;1100
06/06/2016;24;43;57;4;95;900
07/06/2016;1;39;50;3;83;500
07/06/2016;2;36;45;19;53;400
07/06/2016;3;37;43;17;43;300
07/06/2016;4;35;42;10;50;300
07/06/2016;5;35;44;7;56;300
07/06/2016;6;32;40;7;64;300
07/06/2016;7;30;39;9;80;400
07/06/2016;8;29;43;31;67;400
07/06/2016;9;26;39;62;40;300
07/06/2016;10;24;34;79;30;200
07/06/2016;11;22;39;94;25;200
07/06/2016;12;22;31;n/d;n/d;n/d
07/06/2016;13;18;28;n/d;24;200
07/06/2016;14;19;31;116;26;200
07/06/2016;15;18;30;119;19;200
07/06/2016;16;17;27;113;18;200
07/06/2016;17;20;29;108;21;200
07/06/2016;18;20;30;104;25;200
07/06/2016;19;21;31;99;26;200
07/06/2016;20;22;31;100;21;200
07/06/2016;21;23;33;102;15;200
07/06/2016;22;27;39;96;19;200
07/06/2016;23;29;44;87;18;200
07/06/2016;24;28;45;85;15;200
08/06/2016;1;25;41;87;12;200
08/06/2016;2;22;37;101;9;200
08/06/2016;3;23;34;92;8;200
08/06/2016;4;24;35;75;10;200
08/06/2016;5;25;36;58;23;200
08/06/2016;6;28;39;44;35;200
08/06/2016;7;34;48;30;47;300
08/06/2016;8;36;53;34;40;300
08/06/2016;9;28;46;47;31;200
08/06/2016;10;23;39;56;26;200
08/06/2016;11;21;35;68;25;200
08/06/2016;12;22;36;64;24;200
08/06/2016;13;27;39;76;23;200
08/06/2016;14;29;43;80;27;200
08/06/2016;15;29;43;74;29;200
08/06/2016;16;25;39;99;23;200
08/06/2016;17;27;41;103;27;300
08/06/2016;18;28;43;92;26;300
08/06/2016;19;31;45;85;29;300
08/06/2016;20;32;45;76;32;300
08/06/2016;21;28;39;71;27;300
08/06/2016;22;23;33;58;24;300
08/06/2016;23;18;29;54;25;200
08/06/2016;24;19;28;55;24;200
09/06/2016;1;16;24;50;27;200
09/06/2016;2;15;23;58;13;200
09/06/2016;3;16;26;55;10;200
09/06/2016;4;15;28;45;11;200
09/06/2016;5;18;30;35;18;200
09/06/2016;6;20;31;27;27;200
09/06/2016;7;22;33;25;34;200
09/06/2016;8;23;34;27;32;200
09/06/2016;9;24;35;28;32;200
09/06/2016;10;25;38;34;28;200
09/06/2016;11;24;37;42;23;200
09/06/2016;12;22;35;51;21;200
09/06/2016;13;20;36;65;23;200
09/06/2016;14;18;29;77;23;200
09/06/2016;15;17;29;80;25;200
09/06/2016;16;14;25;91;25;200
09/06/2016;17;14;23;94;25;200
09/06/2016;18;13;33;91;28;300
09/06/2016;19;16;28;91;30;300
09/06/2016;20;19;29;84;28;300
09/06/2016;21;22;33;69;31;300
09/06/2016;22;19;29;61;37;300
09/06/2016;23;19;28;48;54;300
09/06/2016;24;18;30;48;54;300
10/06/2016;1;18;30;56;38;200
10/06/2016;2;16;29;60;24;200
10/06/2016;3;16;27;59;21;200
10/06/2016;4;13;25;50;25;200
10/06/2016;5;13;27;33;43;200
10/06/2016;6;15;29;19;58;200
10/06/2016;7;17;32;15;72;400
10/06/2016;8;19;38;29;70;300
10/06/2016;9;17;39;47;63;300
10/06/2016;10;18;41;75;49;200
10/06/2016;11;18;35;93;33;200
10/06/2016;12;14;28;108;24;200
10/06/2016;13;11;26;108;26;200
10/06/2016;14;16;29;112;28;200
10/06/2016;15;15;30;122;17;100
10/06/2016;16;12;25;117;18;200
10/06/2016;17;11;23;112;22;200
10/06/2016;18;13;25;100;30;200
10/06/2016;19;15;27;92;30;200
10/06/2016;20;15;27;85;33;200
10/06/2016;21;17;28;95;24;200
10/06/2016;22;15;28;82;30;200
10/06/2016;23;16;28;67;43;200
10/06/2016;24;16;27;73;38;200
11/06/2016;1;12;21;79;25;200
11/06/2016;2;14;21;69;25;200
11/06/2016;3;13;20;70;23;200
11/06/2016;4;7;12;75;15;200
11/06/2016;5;6;10;65;20;200
11/06/2016;6;10;17;51;33;200
11/06/2016;7;11;17;42;43;300
11/06/2016;8;11;20;35;51;300
11/06/2016;9;13;20;74;33;200
11/06/2016;10;8;15;79;37;200
11/06/2016;11;10;17;82;33;200
11/06/2016;12;11;20;82;33;200
11/06/2016;13;12;21;85;29;200
11/06/2016;14;10;17;84;33;300
11/06/2016;15;10;16;80;34;300
11/06/2016;16;9;17;78;37;300
11/06/2016;17;9;15;85;35;300
11/06/2016;18;8;14;79;36;300
11/06/2016;19;8;15;70;48;300
11/06/2016;20;10;16;66;47;300
11/06/2016;21;14;21;56;54;300
11/06/2016;22;18;24;54;46;300
11/06/2016;23;16;21;44;40;300
11/06/2016;24;14;20;41;32;300
12/06/2016;1;13;21;42;32;200
12/06/2016;2;12;20;62;16;200
12/06/2016;3;13;20;70;12;200
12/06/2016;4;20;29;87;10;200
12/06/2016;5;26;38;72;12;200
12/06/2016;6;29;41;67;17;200
12/06/2016;7;33;41;56;20;200
12/06/2016;8;37;41;65;15;200
12/06/2016;9;22;28;71;12;200
12/06/2016;10;13;19;59;16;200
12/06/2016;11;12;19;50;15;200
12/06/2016;12;11;18;50;16;200
12/06/2016;13;8;16;43;14;200
12/06/2016;14;5;13;38;18;200
12/06/2016;15;6;9;34;17;200
12/06/2016;16;5;11;30;21;200
12/06/2016;17;6;12;26;27;200
12/06/2016;18;6;11;19;33;300
12/06/2016;19;7;14;21;33;300
12/06/2016;20;7;12;19;32;200
12/06/2016;21;9;13;18;36;200
12/06/2016;22;6;13;18;35;200
12/06/2016;23;6;12;35;20;200
12/06/2016;24;5;11;33;19;200
13/06/2016;1;5;13;44;9;100
13/06/2016;2;6;14;48;8;100
13/06/2016;3;6;14;50;9;100
13/06/2016;4;6;16;47;10;100
13/06/2016;5;7;16;37;22;100
13/06/2016;6;7;18;31;30;100
13/06/2016;7;7;19;30;33;200
13/06/2016;8;8;23;28;36;200
13/06/2016;9;9;22;32;31;200
13/06/2016;10;9;22;39;24;100
13/06/2016;11;10;19;36;27;100
13/06/2016;12;8;18;42;21;100
13/06/2016;13;8;17;42;23;100
13/06/2016;14;9;19;37;24;100
13/06/2016;15;8;20;39;25;100
13/06/2016;16;9;17;36;27;200
13/06/2016;17;10;19;35;29;200
13/06/2016;18;11;20;32;31;200
13/06/2016;19;10;18;33;32;200
13/06/2016;20;11;16;34;28;200
13/06/2016;21;11;14;33;23;200
13/06/2016;22;10;16;35;22;200
13/06/2016;23;7;15;35;20;100
13/06/2016;24;7;13;36;20;100
14/06/2016;1;6;11;38;15;200
14/06/2016;2;6;10;37;10;200
14/06/2016;3;6;12;42;8;200
14/06/2016;4;5;11;43;9;200
14/06/2016;5;5;12;39;14;200
14/06/2016;6;5;13;27;28;200
14/06/2016;7;5;16;23;38;300
14/06/2016;8;8;19;24;35;300
14/06/2016;9;7;19;25;29;200
14/06/2016;10;7;19;31;27;200
14/06/2016;11;9;18;39;22;200
14/06/2016;12;6;16;44;20;200
14/06/2016;13;6;17;48;20;200
14/06/2016;14;6;19;51;18;200
14/06/2016;15;7;18;50;19;200
14/06/2016;16;9;18;49;15;200
14/06/2016;17;8;16;43;22;200
14/06/2016;18;7;14;42;23;200
14/06/2016;19;6;14;34;33;200
14/06/2016;20;9;12;33;29;200
14/06/2016;21;8;13;34;23;200
14/06/2016;22;7;12;35;18;200
14/06/2016;23;4;10;36;19;200
14/06/2016;24;3;9;42;16;200
15/06/2016;1;4;8;30;15;100
15/06/2016;2;4;9;34;10;100
15/06/2016;3;4;10;36;10;100
15/06/2016;4;4;8;31;14;100
15/06/2016;5;4;8;30;26;100
15/06/2016;6;4;8;21;38;100
15/06/2016;7;4;11;15;49;200
15/06/2016;8;5;13;22;40;200
15/06/2016;9;n/d;n/d;n/d;n/d;n/d
15/06/2016;10;n/d;n/d;n/d;n/d;n/d
15/06/2016;11;n/d;n/d;36;18;100
15/06/2016;12;6;15;37;22;100
15/06/2016;13;7;14;39;22;100
15/06/2016;14;7;11;38;23;100
15/06/2016;15;7;14;45;17;100
15/06/2016;16;8;12;42;25;100
15/06/2016;17;7;11;49;22;100
15/06/2016;18;6;10;46;29;200
15/06/2016;19;7;11;41;27;200
15/06/2016;20;8;13;30;35;200
15/06/2016;21;8;14;32;27;100
15/06/2016;22;6;12;29;30;200
15/06/2016;23;7;11;21;35;200
15/06/2016;24;5;10;29;27;100
16/06/2016;1;5;9;28;27;100
16/06/2016;2;5;7;44;16;100
16/06/2016;3;5;6;33;25;200
16/06/2016;4;7;6;12;41;100
16/06/2016;5;8;9;7;44;200
16/06/2016;6;6;10;10;49;200
16/06/2016;7;6;13;11;49;200
16/06/2016;8;6;15;9;54;200
16/06/2016;9;9;21;18;47;200
16/06/2016;10;10;19;30;32;200
16/06/2016;11;10;19;31;35;200
16/06/2016;12;9;16;33;36;200
16/06/2016;13;10;18;39;37;200
16/06/2016;14;8;17;21;55;200
16/06/2016;15;8;16;26;47;200
16/06/2016;16;6;12;35;36;200
16/06/2016;17;6;11;30;39;200
16/06/2016;18;5;10;37;38;200
16/06/2016;19;6;10;31;40;200
16/06/2016;20;9;13;15;48;200
16/06/2016;21;10;14;17;36;200
16/06/2016;22;8;13;14;36;200
16/06/2016;23;7;14;13;37;200
16/06/2016;24;7;12;29;24;100
17/06/2016;1;5;10;33;15;100
17/06/2016;2;5;10;34;15;100
17/06/2016;3;5;9;34;14;200
17/06/2016;4;5;11;33;18;200
17/06/2016;5;5;12;24;31;200
17/06/2016;6;7;16;23;38;200
17/06/2016;7;9;23;29;42;200
17/06/2016;8;11;30;34;44;200
17/06/2016;9;10;27;40;30;200
17/06/2016;10;9;20;41;25;200
17/06/2016;11;8;20;48;30;200
17/06/2016;12;9;20;55;26;200
17/06/2016;13;n/d;n/d;54;30;200
17/06/2016;14;n/d;n/d;66;24;200
17/06/2016;15;13;23;65;23;200
17/06/2016;16;8;16;52;35;200
17/06/2016;17;8;15;37;56;300
17/06/2016;18;10;15;37;53;300
17/06/2016;19;10;13;34;57;300
17/06/2016;20;11;16;39;49;300
17/06/2016;21;10;15;51;28;200
17/06/2016;22;9;11;51;26;200
17/06/2016;23;8;13;42;40;200
17/06/2016;24;6;12;43;35;200
18/06/2016;1;6;11;40;30;200
18/06/2016;2;9;13;55;18;200
18/06/2016;3;12;16;59;13;200
18/06/2016;4;16;21;57;15;200
18/06/2016;5;15;22;55;17;200
18/06/2016;6;12;19;49;22;200
18/06/2016;7;10;17;52;20;200
18/06/2016;8;10;18;57;18;200
18/06/2016;9;10;14;59;18;200
18/06/2016;10;8;15;64;14;200
18/06/2016;11;9;13;67;16;200
18/06/2016;12;9;18;64;16;200
18/06/2016;13;12;17;61;19;200
18/06/2016;14;11;18;56;24;300
18/06/2016;15;11;17;70;19;200
18/06/2016;16;8;15;63;25;300
18/06/2016;17;11;14;51;31;300
18/06/2016;18;13;15;51;31;300
18/06/2016;19;13;15;48;34;300
18/06/2016;20;12;18;53;23;200
18/06/2016;21;11;18;51;22;300
18/06/2016;22;11;17;50;22;200
18/06/2016;23;14;18;50;25;200
18/06/2016;24;14;19;48;24;200
19/06/2016;1;13;19;48;20;100
19/06/2016;2;11;19;53;14;100
19/06/2016;3;10;19;53;11;100
19/06/2016;4;11;20;49;12;100
19/06/2016;5;12;21;45;13;100
19/06/2016;6;14;23;35;21;100
19/06/2016;7;14;25;37;20;100
19/06/2016;8;17;27;41;17;100
19/06/2016;9;16;26;47;15;100
19/06/2016;10;15;23;62;12;100
19/06/2016;11;12;20;69;12;100
19/06/2016;12;13;19;67;17;100
19/06/2016;13;13;17;79;14;100
19/06/2016;14;11;18;91;9;100
19/06/2016;15;11;16;91;13;100
19/06/2016;16;10;18;87;13;100
19/06/2016;17;10;16;77;17;100
19/06/2016;18;9;13;74;15;100
19/06/2016;19;8;14;71;15;100
19/06/2016;20;10;14;62;20;100
19/06/2016;21;11;14;47;31;100
19/06/2016;22;10;17;37;40;200
19/06/2016;23;9;15;39;31;100
19/06/2016;24;9;14;41;24;100
20/06/2016;1;8;13;41;21;100
20/06/2016;2;7;12;41;17;100
20/06/2016;3;6;10;35;17;200
20/06/2016;4;5;12;30;18;200
20/06/2016;5;5;12;15;37;200
20/06/2016;6;7;14;7;47;200
20/06/2016;7;8;17;9;47;200
20/06/2016;8;8;18;14;42;300
20/06/2016;9;7;15;18;32;200
20/06/2016;10;7;14;20;27;200
20/06/2016;11;8;13;23;24;200
20/06/2016;12;7;11;25;23;200
20/06/2016;13;6;12;21;26;200
20/06/2016;14;5;9;19;28;200
20/06/2016;15;5;7;14;33;200
20/06/2016;16;6;9;15;34;200
20/06/2016;17;6;10;11;36;300
20/06/2016;18;7;11;10;36;300
20/06/2016;19;8;11;11;33;200
20/06/2016;20;6;12;12;31;200
20/06/2016;21;5;11;15;26;200
20/06/2016;22;6;10;12;26;200
20/06/2016;23;6;11;13;22;200
20/06/2016;24;6;11;14;19;200
21/06/2016;1;2;11;15;16;200
21/06/2016;2;3;11;18;11;200
21/06/2016;3;3;9;17;10;200
21/06/2016;4;2;8;14;12;200
21/06/2016;5;2;8;10;19;200
21/06/2016;6;3;11;4;28;200
21/06/2016;7;5;14;5;33;300
21/06/2016;8;6;16;5;29;300
21/06/2016;9;6;20;5;28;300
21/06/2016;10;8;16;7;25;300
21/06/2016;11;7;14;10;26;300
21/06/2016;12;n/d;n/d;18;22;200
21/06/2016;13;n/d;n/d;27;19;200
21/06/2016;14;n/d;n/d;27;22;200
21/06/2016;15;n/d;n/d;28;24;200
21/06/2016;16;8;n/d;21;33;300
21/06/2016;17;8;16;23;34;300
21/06/2016;18;8;16;17;38;300
21/06/2016;19;9;18;9;45;400
21/06/2016;20;13;19;5;48;300
21/06/2016;21;14;21;3;50;400
21/06/2016;22;15;22;4;50;400
21/06/2016;23;14;22;2;48;400
21/06/2016;24;12;18;1;46;300
22/06/2016;1;10;15;2;46;400
22/06/2016;2;11;20;1;37;300
22/06/2016;3;11;20;2;31;200
22/06/2016;4;10;20;1;30;200
22/06/2016;5;10;20;2;32;300
22/06/2016;6;11;23;3;37;300
22/06/2016;7;13;32;5;43;400
22/06/2016;8;13;31;9;34;300
22/06/2016;9;8;21;15;24;200
22/06/2016;10;8;22;19;29;200
22/06/2016;11;9;17;27;27;200
22/06/2016;12;8;14;34;23;200
22/06/2016;13;9;16;46;26;200
22/06/2016;14;11;20;57;29;200
22/06/2016;15;12;19;40;48;300
22/06/2016;16;13;21;39;48;300
22/06/2016;17;12;18;26;62;400
22/06/2016;18;10;19;25;60;300
22/06/2016;19;11;14;13;71;400
22/06/2016;20;11;20;8;74;400
22/06/2016;21;15;25;3;85;500
22/06/2016;22;16;26;3;77;500
22/06/2016;23;14;24;6;66;500
22/06/2016;24;13;21;3;57;500
23/06/2016;1;11;18;15;25;200
23/06/2016;2;7;14;16;18;200
23/06/2016;3;7;14;6;27;200
23/06/2016;4;7;18;3;31;200
23/06/2016;5;7;20;3;31;300
23/06/2016;6;9;22;4;36;400
23/06/2016;7;15;20;10;37;300
23/06/2016;8;12;22;31;42;300
23/06/2016;9;8;18;49;35;200
23/06/2016;10;7;21;58;36;200
23/06/2016;11;8;21;72;36;200
23/06/2016;12;10;21;100;24;200
23/06/2016;13;12;24;110;27;200
23/06/2016;14;19;32;106;35;300
23/06/2016;15;19;35;82;43;300
23/06/2016;16;18;28;77;43;300
23/06/2016;17;16;25;78;42;300
23/06/2016;18;17;27;76;41;300
23/06/2016;19;17;27;85;37;300
23/06/2016;20;13;24;66;26;300
23/06/2016;21;12;21;63;23;200
23/06/2016;22;10;18;50;23;300
23/06/2016;23;10;21;43;28;300
23/06/2016;24;12;21;44;25;200
24/06/2016;1;12;21;43;17;200
24/06/2016;2;16;25;38;13;200
24/06/2016;3;24;32;38;11;200
24/06/2016;4;14;17;40;9;200
24/06/2016;5;8;13;34;16;200
24/06/2016;6;10;16;25;23;200
24/06/2016;7;11;16;26;25;200
24/06/2016;8;7;18;26;28;200
24/06/2016;9;8;18;32;24;200
24/06/2016;10;9;24;30;30;200
24/06/2016;11;13;30;37;24;200
24/06/2016;12;12;25;53;19;200
24/06/2016;13;14;26;67;16;200
24/06/2016;14;15;28;72;17;200
24/06/2016;15;11;26;75;21;200
24/06/2016;16;12;22;75;20;200
24/06/2016;17;13;21;74;23;200
24/06/2016;18;13;21;69;27;200
24/06/2016;19;14;23;71;26;200
24/06/2016;20;13;22;65;25;200
24/06/2016;21;11;20;56;22;200
24/06/2016;22;11;18;49;17;200
24/06/2016;23;11;17;44;19;200
24/06/2016;24;9;16;49;15;200
25/06/2016;1;7;12;50;16;200
25/06/2016;2;6;12;54;12;200
25/06/2016;3;8;15;51;11;200
25/06/2016;4;6;13;43;17;200
25/06/2016;5;7;13;51;14;200
25/06/2016;6;7;13;51;14;200
25/06/2016;7;7;15;51;15;200
25/06/2016;8;8;15;45;14;200
25/06/2016;9;7;16;49;12;200
25/06/2016;10;10;16;53;10;200
25/06/2016;11;10;16;57;13;200
25/06/2016;12;10;18;62;12;200
25/06/2016;13;10;17;62;12;100
25/06/2016;14;8;17;61;11;100
25/06/2016;15;6;15;63;13;100
25/06/2016;16;6;16;60;18;200
25/06/2016;17;6;16;57;16;200
25/06/2016;18;6;16;53;19;200
25/06/2016;19;8;16;48;21;200
25/06/2016;20;7;15;50;15;200
25/06/2016;21;7;14;46;16;200
25/06/2016;22;9;15;30;33;200
25/06/2016;23;11;18;32;28;200
25/06/2016;24;10;18;31;29;200
26/06/2016;1;8;17;27;33;200
26/06/2016;2;8;15;37;21;100
26/06/2016;3;6;14;40;16;200
26/06/2016;4;6;13;38;12;100
26/06/2016;5;6;14;37;13;100
26/06/2016;6;7;17;39;11;100
26/06/2016;7;7;16;37;10;100
26/06/2016;8;9;17;38;11;100
26/06/2016;9;9;17;44;10;100
26/06/2016;10;9;17;50;9;100
26/06/2016;11;9;17;52;12;100
26/06/2016;12;9;17;57;13;100
26/06/2016;13;9;19;61;11;100
26/06/2016;14;8;17;62;13;100
26/06/2016;15;7;14;71;10;100
26/06/2016;16;5;15;73;9;100
26/06/2016;17;6;16;76;11;100
26/06/2016;18;8;15;76;10;100
26/06/2016;19;7;15;74;10;100
26/06/2016;20;8;15;72;11;100
26/06/2016;21;9;16;64;12;100
26/06/2016;22;9;16;47;26;200
26/06/2016;23;8;15;48;24;100
26/06/2016;24;8;14;51;17;100
27/06/2016;1;6;12;53;13;100
27/06/2016;2;6;11;54;9;100
27/06/2016;3;6;12;51;8;100
27/06/2016;4;5;11;41;13;100
27/06/2016;5;5;13;28;27;100
27/06/2016;6;6;13;25;32;200
27/06/2016;7;7;15;21;36;200
27/06/2016;8;n/d;n/d;13;42;300
27/06/2016;9;n/d;n/d;16;33;200
27/06/2016;10;n/d;n/d;14;31;200
27/06/2016;11;n/d;n/d;18;28;200
27/06/2016;12;n/d;n/d;21;26;n/d
27/06/2016;13;n/d;n/d;21;26;200
27/06/2016;14;n/d;n/d;29;23;200
27/06/2016;15;8;22;29;27;200
27/06/2016;16;8;18;23;34;300
27/06/2016;17;7;14;23;32;200
27/06/2016;18;7;13;21;36;300
27/06/2016;19;9;15;21;34;300
27/06/2016;20;8;15;45;25;200
27/06/2016;21;10;18;51;21;200
27/06/2016;22;11;18;57;16;200
27/06/2016;23;9;16;52;14;100
27/06/2016;24;5;14;48;14;100
28/06/2016;1;6;13;49;13;100
28/06/2016;2;7;12;52;10;100
28/06/2016;3;6;11;50;10;100
28/06/2016;4;6;12;40;17;100
28/06/2016;5;7;12;34;29;200
28/06/2016;6;7;15;23;39;200
28/06/2016;7;7;18;23;48;200
28/06/2016;8;8;21;32;41;200
28/06/2016;9;10;22;31;39;200
28/06/2016;10;11;23;31;40;200
28/06/2016;11;13;28;41;33;200
28/06/2016;12;12;25;52;28;200
28/06/2016;13;13;25;51;29;200
28/06/2016;14;11;23;51;31;200
28/06/2016;15;9;22;49;31;200
28/06/2016;16;7;19;40;30;200
28/06/2016;17;5;16;48;28;200
28/06/2016;18;8;19;55;28;200
28/06/2016;19;8;17;50;36;200
28/06/2016;20;9;18;48;31;200
28/06/2016;21;9;17;43;25;200
28/06/2016;22;7;14;42;20;200
28/06/2016;23;5;13;47;18;100
28/06/2016;24;5;17;50;12;100
29/06/2016;1;5;14;49;8;100
29/06/2016;2;3;9;47;8;100
29/06/2016;3;4;8;47;6;100
29/06/2016;4;4;9;51;7;100
29/06/2016;5;4;11;42;18;100
29/06/2016;6;5;15;33;32;100
29/06/2016;7;5;18;33;30;200
29/06/2016;8;10;26;35;30;200
29/06/2016;9;10;24;43;25;200
29/06/2016;10;9;23;45;27;200
29/06/2016;11;8;20;53;22;100
29/06/2016;12;n/d;n/d;n/d;18;100
29/06/2016;13;n/d;n/d;60;19;100
29/06/2016;14;10;23;44;28;100
29/06/2016;15;13;28;42;29;100
29/06/2016;16;9;23;53;24;100
29/06/2016;17;8;19;49;28;200
29/06/2016;18;8;20;41;41;200
29/06/2016;19;11;22;39;42;200
29/06/2016;20;12;24;39;37;200
29/06/2016;21;12;23;44;31;200
29/06/2016;22;10;30;45;26;200
29/06/2016;23;7;24;48;19;100
29/06/2016;24;8;18;51;15;100
30/06/2016;1;8;15;55;9;100
30/06/2016;2;7;15;51;10;100
30/06/2016;3;7;14;48;10;100
30/06/2016;4;6;14;48;10;100
30/06/2016;5;7;16;36;24;100
30/06/2016;6;8;17;25;34;200
30/06/2016;7;7;18;25;35;200
30/06/2016;8;8;20;21;38;200
30/06/2016;9;7;20;24;33;200
30/06/2016;10;8;20;23;33;200
30/06/2016;11;10;19;24;29;200
30/06/2016;12;10;23;28;29;200
30/06/2016;13;9;22;38;24;200
30/06/2016;14;6;20;39;27;200
30/06/2016;15;6;19;43;24;200
30/06/2016;16;7;14;47;22;200
30/06/2016;17;7;14;39;32;300
30/06/2016;18;8;18;35;36;300
30/06/2016;19;9;23;30;36;300
30/06/2016;20;10;19;29;37;300
30/06/2016;21;10;17;39;24;200
30/06/2016;22;8;15;35;27;200
30/06/2016;23;7;15;36;24;200
30/06/2016;24;7;14;39;16;200
01/07/2016;1;6;11;35;14;100
01/07/2016;2;5;10;32;10;100
01/07/2016;3;4;10;30;9;100
01/07/2016;4;3;8;33;6;100
01/07/2016;5;3;8;32;14;100
01/07/2016;6;3;8;23;27;100
01/07/2016;7;4;12;17;34;200
